"location","source","target"
"../../themecentre/skins/themecentre_templates/rod_listing.pt:36","(TERMINATED)",""
"../../themecentre/skins/themecentre_templates/themecentre_view.pt:101","<span class=""eea-icon eea-icon-chevron-circle-right ""><!-- ?--></span> <span>x</span>&nbsp; <span class=""text-italic"">x</span>",""
"../../themecentre/skins/themecentre_templates/dc_view.pt:19","Advanced search",""
"../../themecentre/skins/themecentre_templates/mediacentre_macros.pt:8","All","hepsi"
"../../themecentre/skins/themecentre_templates/themecentre_view.pt:128","All GIS Map Application on",""
"../../themecentre/skins/themecentre_templates/themecentre_view.pt:268","All Multimedia on",""
"../../themecentre/skins/themecentre_templates/themecentre_view.pt:200","All News on",""
"../../themecentre/skins/themecentre_templates/themecentre_view.pt:242","All Publication on",""
"../../themecentre/skins/themecentre_templates/themecentre_view.pt:154","All Tableau Dashboards on",""
"../../themecentre/skins/themecentre_templates/linkchecker_documents_by_status.pt:18","All documents in state ${state}",""
"../../themecentre/skins/themecentre_templates/themecentre_view.pt:100","All indicators on",""
"../../themecentre/skins/themecentre_templates/linkchecker_links_by_status.pt:29","All links in state ${state}",""
"../../themecentre/skins/themecentre_templates/overview.pt:16","An overview of the available content on this site. Keep the pointer still over an item for a few seconds to get its description.",""
"../../themecentre/skins/themecentre_templates/dc_view.pt:33 ../../themecentre/skins/themecentre_templates/themecentre_overview.pt:16","Browse catalogue",""
"../../themecentre/skins/themecentre_templates/media_type_common.pt:25","Choose another media type or ${multimedia_center} (via EEA Multimedia Centre).",""
"../../themecentre/skins/themecentre_templates/themecentre_view.pt:139","Dashboard",""
"../../themecentre/profiles/default/actions.xml","Depromote a theme centre",""
"../../themecentre/skins/themecentre_templates/linkchecker_summary.pt:34","Distinct:",""
"../../themecentre/skins/themecentre_templates/linkchecker_documents_by_status.pt:33 ../../themecentre/skins/themecentre_templates/linkchecker_links_by_status.pt:42","Document",""
"../../themecentre/skins/themecentre_templates/linkchecker_summary.pt:73","Documents containing links in the state ...",""
"../../themecentre/skins/themecentre_templates/media_type_common.pt:26","EEA Multimedia Centre",""
"../../themecentre/profiles.zcml:10","EEA Theme Centre",""
"../../themecentre/skins/themecentre_templates/themecentre_view.pt:25","EEA activities",""
"../../themecentre/skins/themecentre_templates/themecentre_view.pt:24","EU policies",""
"../../themecentre/skins/themecentre_templates/themes_view.pt:118","Featured content",""
"../../themecentre/skins/themecentre_templates/themecentre_view.pt:113","GIS Map Application",""
"../../themecentre/skins/themecentre_templates/dc_view.pt:18","Go to advanced search",""
"../../themecentre/skins/themecentre_templates/portlet_themes.pt:40","Home",""
"../../themecentre/skins/themecentre_templates/rod_listing.pt:25","ID",""
"../../themecentre/skins/themecentre_templates/themecentre_view.pt:73","Indicators",""
"../../themecentre/skins/themecentre_templates/themecentre_view.pt:23","Intro",""
"../../themecentre/browser/portlets/smartfolder.py:49","Latest FAQ",""
"../../themecentre/skins/themecentre_templates/linkchecker_documents_by_status.pt:26","Link listing",""
"../../themecentre/skins/themecentre_templates/linkchecker_summary.pt:22","Link management overview",""
"../../themecentre/skins/themecentre_templates/portlet_wisenavigation.pt:46","Links",""
"../../themecentre/skins/themecentre_templates/linkchecker_summary.pt:44","Links in the state ...",""
"../../themecentre/skins/themecentre_templates/portlet_themes.pt:26","Menu",""
"../../themecentre/skins/themecentre_templates/portlet_media_common.pt:39 ../../themecentre/skins/themecentre_templates/portlet_themes_common.pt:81","More",""
"../../themecentre/skins/themecentre_templates/media_type_common.pt:39 ../../themecentre/skins/themecentre_templates/themecentre_view.pt:251","Multimedia",""
"../../themecentre/skins/themecentre_templates/themecentre_view.pt:165","News",""
"../../themecentre/skins/themecentre_templates/rod_listing.pt:28","Next report deadline",""
"../../themecentre/skins/themecentre_templates/media_type_common.pt:23","No media files of this kind yet.",""
"../../themecentre/skins/themecentre_templates/rod_listing.pt:43","One time only",""
"../../themecentre/browser/themecentre.py:81","Other",""
"../../themecentre/skins/themecentre_templates/linkchecker_documents_by_status.pt:44 ../../themecentre/skins/themecentre_templates/linkchecker_links_by_status.pt:45","Owner",""
"../../themecentre/skins/themecentre_templates/portlet_wisenavigation.pt:34","Policy",""
"../../themecentre/skins/themecentre_templates/themes_view.pt:96","Popular searches",""
"../../themecentre/profiles.zcml:10","Profile for EEA Theme Centre",""
"../../themecentre/skins/themecentre_templates/portlet_wisenavigation.pt:42","Projects",""
"../../themecentre/profiles/default/actions.xml","Promote to theme centre",""
"../../themecentre/skins/themecentre_templates/themecentre_view.pt:211","Publication",""
"../../themecentre/skins/themecentre_templates/themecentre_view.pt:179","Published",""
"../../themecentre/skins/themecentre_templates/listall.pt:29","Published:",""
"../../themecentre/skins/themecentre_templates/portlet_themes_common.pt:16","RSS",""
"../../themecentre/skins/themecentre_templates/themecentre_view.pt:92","Read more",""
"../../themecentre/skins/themecentre_templates/portlet_themes_common.pt:47","Read report",""
"../../themecentre/browser/portlets/related.py:20","Related themes",""
"../../themecentre/skins/themecentre_templates/portlet_relatedthemes.pt:14","Related topics",""
"../../themecentre/skins/themecentre_templates/rod_listing.pt:27","Reporting frequency",""
"../../themecentre/skins/themecentre_templates/rod_listing.pt:18","Reporting obligations are requirements to provide information agreed between countries and international bodies such as the EEA or international conventions. Reporting obligations provide the basis for most environmental information flows.",""
"../../themecentre/skins/themecentre_templates/rod_listing.pt:22","Reporting obligations related to data stored at EEA",""
"../../themecentre/skins/themecentre_templates/dc_view.pt:21","Search","Ara"
"../../themecentre/skins/themecentre_templates/dc_view.pt:24","Search data, maps, indicators",""
"../../themecentre/skins/themecentre_templates/overview.pt:14","Site map",""
"../../themecentre/skins/themecentre_templates/themecentre_view.pt:38","Subtopics:",""
"../../themecentre/profiles/default/actions.xml","Synchronize older versions topics",""
"../../themecentre/profiles/default/actions.xml","Themes",""
"../../themecentre/skins/themecentre_templates/portlet_wisenavigation.pt:38","Themes and data",""
"../../themecentre/skins/themecentre_templates/object_listing.pt:33","There are currently no results for this search.",""
"../../themecentre/skins/themecentre_templates/linkchecker_summary.pt:26","This page gives you information about the links in your themecentre.",""
"../../themecentre/skins/themecentre_templates/rod_listing.pt:26","Title/Description",""
"../../themecentre/browser/portlets/themes.py:22","Topics",""
"../../themecentre/skins/themecentre_templates/linkchecker_summary.pt:38","Total documents",""
"../../themecentre/skins/themecentre_templates/linkchecker_summary.pt:30","Total links",""
"../../themecentre/skins/themecentre_templates/linkchecker_summary.pt:32","Total:",""
"../../themecentre/skins/themecentre_templates/linkchecker_documents_by_status.pt:24 ../../themecentre/skins/themecentre_templates/linkchecker_links_by_status.pt:34","Up to linkchecker summary",""
"../../themecentre/browser/portlets/smartfolder.py:47","Upcoming events",""
"../../themecentre/skins/themecentre_templates/portlet_wisenavigation.pt:13","WISE Menu",""
"../../themecentre/skins/themecentre_templates/media_type_common.pt:26","browse all multimedia products",""
"../../themecentre/skins/themecentre_templates/dc_view.pt:53","homepage",""
"../../themecentre/skins/themecentre_templates/portlet_relatedthemes.pt:30","portlet_relatedthemes.pt",""
"../../themecentre/skins/themecentre_templates/portlet_themes.pt:53","portlet_themes.pt",""
"../../themecentre/skins/themecentre_templates/rod_listing.pt:12","related reporting obligations",""
"../../themecentre/browser/themecentre.py:79","s",""
"../../themecentre/skins/themecentre_templates/linkchecker_documents_by_status.pt:41","total",""
"../../themecentre/skins/themecentre_templates/portlet_wisenavigation.pt:18","water_information",""
